tahun,kecamatan,bencana,meninggal,hilang,terluka,rumah rusak,rumah terendam,penyebab
2020,kec. Pasir sakti,banjir,0,0,0,0,12,intensitas hujan tinggi
2020,kec. Labuhan maringgai,cuaca ekstrem,0,0,0,137,0,hujan tinggi dan angin kencang
2020,kec. Pasir sakti,cuaca ekstrem,0,0,0,18,0,hujan tinggi dan angin kencang
2020,kec. Braja selebah,cuaca ekstrem,0,0,0,9,0,hujan tinggi dan angin kencang
2020,kec. Jabung,cuaca ekstrem,0,0,0,12,0,hujan tinggi dan angin kencang
2020,kec. Sekampung udik,cuaca ekstrem,0,0,0,7,0,hujan tinggi dan angin kencang
2020,kec. Way jepara,cuaca ekstrem,0,0,0,1,0,hujan tinggi dan angin kencang
2021,kec. Jabung,banjir,0,0,0,99,150,intensitas hujan tinggi
2021,kec. Pasir sakti,banjir,0,0,0,0,0,intensitas hujan tinggi
2021,kec. Raman utara,banjir,0,0,0,9,27,intensitas hujan tinggi
2021,kec. Pasir sakti,cuaca ekstrem,0,0,1,90,0,hujan tinggi dan angin kencang
2021,kec. Way bungur,cuaca ekstrem,0,0,0,8,0,hujan tinggi dan angin kencang
2021,kec. Sukadana,cuaca ekstrem,0,0,0,17,0,hujan tinggi dan angin kencang
2021,kec. Pekalongan,cuaca ekstrem,0,0,0,6,0,hujan tinggi dan angin kencang
2021,kec. Melinting,cuaca ekstrem,0,0,0,1,0,hujan tinggi dan angin kencang
2021,kec. Labuhan maringgai,cuaca ekstrem,0,0,0,22,0,hujan tinggi dan angin kencang
2022,kec. Pasir sakti,banjir,0,0,0,0,5,intensitas hujan tinggi
2022,kec. Batang hari,banjir,0,0,0,0,0,intensitas hujan tinggi
2022,kec. Pasir sakti,cuaca ekstrem,0,0,0,34,0,hujan tinggi dan angin kencang
2022,kec. Sukadana,cuaca ekstrem,0,0,0,3,0,hujan tinggi dan angin kencang
2022,kec. Purbolinggo,cuaca ekstrem,0,0,0,3,0,hujan tinggi dan angin kencang
2022,kec. Marga tiga,cuaca ekstrem,0,0,0,17,0,hujan tinggi dan angin kencang
2022,kec. Raman,cuaca ekstrem,0,0,0,8,0,hujan tinggi dan angin kencang
2022,kec. Batang hari,cuaca ekstrem,0,0,0,4,0,hujan tinggi dan angin kencang
2022,kec. Marga sekampung,cuaca ekstrem,0,0,0,42,0,hujan tinggi dan angin kencang
2023,kec. Sukadana,banjir,0,0,0,0,125,intensitas hujan tinggi
2023,kec. Raman utara,cuaca ekstrem,0,0,0,153,0,hujan tinggi dan angin kencang
2023,kec. Gunung pelindung,cuaca ekstrem,0,0,0,15,0,hujan tinggi dan angin kencang
2023,kec. Sukadana,cuaca ekstrem,0,0,0,1,0,hujan tinggi dan angin kencang
2023,kec. Labuhan ratu,cuaca ekstrem,0,0,0,1,0,hujan tinggi dan angin kencang
2023,kec. Waway karya,cuaca ekstrem,0,0,0,28,0,hujan tinggi dan angin kencang
2019,kec. Labuhan maringgai,cuaca ekstrem,0,0,0,20,0,hujan tinggi dan angin kencang
2018,kec. Sukadana,banjir,0,0,0,0,170,intensitas hujan tinggi
2018,kec. Bumi agung,banjir,1,0,0,0,40,intensitas hujan tinggi
2018,kec. Batang hari,banjir,0,0,0,0,31,intensitas hujan tinggi
2018,kec. Way bungur,banjir,1,0,0,0,50,intensitas hujan tinggi
2018,kec. Labuhan maringgai,banjir,0,0,0,0,4,intensitas hujan tinggi
2018,kec. Pasir sakti,cuaca ekstrem,0,0,2,3,0,hujan tinggi dan angin kencang
2017,kec. Sukadana,banjir,0,0,2,1,0,intensitas hujan tinggi
2014,kec. Pasir sakti,cuaca ekstrem,0,0,0,53,0,hujan tinggi dan angin kencang
2014,kec. Labuhan maringgai,cuaca ekstrem,0,0,0,7,0,hujan tinggi dan angin kencang
2014,kec. Waway karya,banjir,0,0,0,0,0,intensitas hujan tinggi
2014,kec. Purbolinggo,cuaca ekstrem,1,0,0,18,0,hujan tinggi dan angin kencang
